date	do
200.1875	8.040
200.2083	7.740
200.2292	7.780
200.2500	7.840
200.2708	7.870
200.2917	7.900
200.3125	7.900
200.3333	7.900
200.3542	7.920
200.3750	7.930
200.3958	7.920
200.4167	7.940
200.4375	7.940
200.4583	7.950
200.4792	7.970
200.5000	7.950
200.5208	7.940
200.5417	7.950
200.5625	7.950
200.5833	7.950
200.6042	nan
200.6250	nan
200.6458	nan
200.6667	nan
200.6875	nan
200.7083	nan
200.7292	nan
200.7500	nan
200.7708	nan
200.7917	nan
200.8125	nan
200.8333	nan
200.8542	nan
200.8750	nan
200.8958	nan
200.9167	nan
200.9375	nan
200.9583	nan
200.9792	nan
201.0000	nan
201.0208	nan
201.0417	nan
201.0625	nan
201.0833	nan
201.1042	nan
201.1250	nan
201.1458	nan
201.1667	nan
201.1875	nan
201.2083	nan
201.2292	nan
201.2500	nan
201.2708	nan
201.2917	nan
201.3125	5.670
201.3333	6.140
201.3542	6.990
201.3750	6.950
201.3958	7.320
201.4167	7.890
201.4375	7.370
201.4583	7.210
201.4792	7.060
201.5000	7.400
201.5208	7.500
201.5417	7.270
201.5625	7.190
201.5833	7.340
201.6042	7.180
201.6250	7.080
201.6458	7.000
201.6667	7.140
201.6875	7.080
201.7083	7.080
201.7292	7.140
201.7500	7.490
201.7708	7.130
201.7917	7.370
201.8125	7.440
201.8333	7.410
201.8542	7.420
201.8750	7.440
201.8958	7.430
201.9167	7.490
201.9375	7.490
201.9583	7.510
201.9792	7.490
202.0000	7.520
202.0208	7.500
202.0417	7.480
202.0625	7.480
202.0833	7.460
202.1042	7.430
202.1250	7.440
202.1458	7.450
202.1667	7.470
202.1875	7.470
202.2083	7.500
202.2292	7.500
202.2500	7.510
202.2708	7.500
202.2917	7.520
202.3125	7.510
202.3333	7.510
202.3542	7.490
202.3750	7.500
202.3958	7.470
202.4167	7.470
202.4375	7.460
202.4583	7.450
202.4792	7.460
202.5000	7.470
202.5208	nan
202.5417	nan
202.5625	nan
202.5833	nan
202.6042	nan
202.6250	nan
202.6458	nan
202.6667	nan
202.6875	nan
202.7083	nan
202.7292	nan
202.7500	nan
202.7708	nan
202.7917	nan
202.8125	nan
202.8333	nan
202.8542	nan
202.8750	nan
202.8958	nan
202.9167	nan
202.9375	nan
202.9583	nan
202.9792	nan
203.0000	nan
203.0208	nan
203.0417	nan
203.0625	nan
203.0833	nan
203.1042	nan
203.1250	nan
203.1458	nan
203.1667	nan
203.1875	nan
203.2083	nan
203.2292	nan
203.2500	nan
203.2708	nan
203.2917	nan
203.3125	nan
203.3333	nan
203.3542	nan
203.3750	nan
203.3958	nan
203.4167	nan
203.4375	nan
203.4583	nan
203.4792	nan
203.5000	nan
203.5208	nan
203.5417	nan
203.5625	nan
203.5833	nan
203.6042	nan
203.6250	nan
203.6458	nan
203.6667	nan
203.6875	nan
203.7083	nan
203.7292	nan
203.7500	nan
203.7708	nan
203.7917	nan
203.8125	7.580
203.8333	nan
203.8542	nan
203.8750	nan
203.8958	nan
203.9167	nan
203.9375	nan
203.9583	nan
203.9792	nan
204.0000	nan
204.0208	nan
204.0417	nan
204.0625	nan
204.0833	nan
204.1042	nan
204.1250	nan
204.1458	nan
204.1667	nan
204.1875	nan
204.2083	nan
204.2292	nan
204.2500	nan
204.2708	nan
204.2917	nan
204.3125	nan
204.3333	nan
204.3542	nan
204.3750	nan
204.3958	nan
204.4167	nan
204.4375	nan
204.4583	nan
204.4792	nan
204.5000	nan
204.5208	nan
204.5417	nan
204.5625	nan
204.5833	nan
204.6042	nan
204.6250	nan
204.6458	nan
204.6667	nan
204.6875	nan
204.7083	nan
204.7292	nan
204.7500	nan
204.7708	nan
204.7917	nan
204.8125	nan
204.8333	nan
204.8542	nan
204.8750	nan
204.8958	nan
204.9167	nan
204.9375	7.210
204.9583	nan
204.9792	nan
205.0000	nan
205.0208	nan
205.0417	nan
205.0625	nan
205.0833	nan
205.1042	nan
205.1250	nan
205.1458	nan
205.1667	nan
205.1875	nan
205.2083	nan
205.2292	nan
205.2500	nan
205.2708	nan
205.2917	nan
205.3125	nan
205.3333	nan
205.3542	nan
205.3750	nan
205.3958	nan
205.4167	nan
205.4375	nan
205.4583	nan
205.4792	nan
205.5000	nan
205.5208	nan
205.5417	nan
205.5625	nan
205.5833	nan
205.6042	nan
205.6250	nan
205.6458	nan
205.6667	nan
205.6875	nan
205.7083	nan
205.7292	nan
205.7500	nan
205.7708	nan
205.7917	nan
205.8125	nan
205.8333	nan
205.8542	nan
205.8750	nan
205.8958	nan
205.9167	nan
205.9375	nan
205.9583	nan
205.9792	nan
206.0000	nan
206.0208	nan
206.0417	nan
206.0625	nan
206.0833	nan
206.1042	nan
206.1250	nan
206.1458	nan
206.1667	nan
206.1875	nan
206.2083	nan
206.2292	nan
206.2500	nan
206.2708	nan
206.2917	nan
206.3125	nan
206.3333	6.870
206.3542	nan
206.3750	nan
206.3958	nan
206.4167	nan
206.4375	nan
206.4583	nan
206.4792	nan
206.5000	nan
206.5208	nan
206.5417	nan
206.5625	nan
206.5833	nan
206.6042	nan
206.6250	nan
206.6458	nan
206.6667	nan
206.6875	nan
206.7083	nan
