date	do
199.8750	2.570
199.8958	3.200
199.9167	2.960
199.9375	3.020
199.9583	3.050
199.9792	2.930
200.0000	2.930
200.0208	2.850
200.0417	2.790
200.0625	2.770
200.0833	2.900
200.1042	3.460
200.1250	3.450
200.1458	3.450
200.1667	3.550
200.1875	3.630
200.2083	3.750
200.2292	3.830
200.2500	3.850
200.2708	4.030
200.2917	4.130
200.3125	4.190
200.3333	4.270
200.3542	4.430
200.3750	4.590
200.3958	4.750
200.4167	4.800
200.4375	4.850
200.4583	4.900
200.4792	5.000
200.5000	5.030
200.5208	5.070
200.5417	5.150
200.5625	nan
200.5833	nan
200.6042	19.590
200.6250	18.320
200.6458	17.850
200.6667	18.450
200.6875	17.170
200.7083	18.000
200.7292	17.840
200.7500	17.910
200.7708	17.840
200.7917	17.570
200.8125	17.550
200.8333	17.700
200.8542	18.000
200.8750	17.950
200.8958	18.120
200.9167	17.860
200.9375	18.030
200.9583	18.160
200.9792	18.110
201.0000	18.240
201.0208	18.530
201.0417	18.440
201.0625	18.290
201.0833	18.050
201.1042	18.070
201.1250	17.890
201.1458	17.980
201.1667	17.770
201.1875	17.750
201.2083	17.570
201.2292	17.440
201.2500	17.100
201.2708	17.110
201.2917	16.410
201.3125	15.610
201.3333	15.350
201.3542	15.400
201.3750	15.140
201.3958	14.930
201.4167	14.760
201.4375	14.430
201.4583	14.160
201.4792	14.100
201.5000	14.250
201.5208	14.170
201.5417	14.290
201.5625	13.860
201.5833	13.700
201.6042	13.690
201.6250	13.910
201.6458	13.870
201.6667	14.140
201.6875	14.380
201.7083	15.080
201.7292	14.170
201.7500	14.030
201.7708	14.150
201.7917	14.170
201.8125	13.710
201.8333	13.910
201.8542	13.530
201.8750	13.750
201.8958	13.740
201.9167	13.260
201.9375	12.690
201.9583	13.390
201.9792	13.430
202.0000	13.500
202.0208	13.220
202.0417	13.400
202.0625	13.370
202.0833	13.450
202.1042	13.500
202.1250	13.120
202.1458	12.710
202.1667	12.300
202.1875	12.520
202.2083	12.330
202.2292	11.860
202.2500	12.160
202.2708	11.680
202.2917	11.820
202.3125	12.310
202.3333	12.340
202.3542	12.530
202.3750	12.450
202.3958	12.420
202.4167	12.350
202.4375	12.540
202.4583	12.470
202.4792	12.290
202.5000	12.490
202.5208	12.670
202.5417	7.550
202.5625	12.760
202.5833	12.790
202.6042	12.180
202.6250	11.790
202.6458	11.840
202.6667	12.290
202.6875	11.530
202.7083	11.840
202.7292	11.710
202.7500	11.530
202.7708	11.610
202.7917	11.610
202.8125	11.580
202.8333	10.950
202.8542	11.120
202.8750	11.560
202.8958	11.110
202.9167	11.430
202.9375	11.310
202.9583	11.200
202.9792	11.270
203.0000	11.340
203.0208	11.300
203.0417	10.620
203.0625	11.100
203.0833	11.120
203.1042	11.240
203.1250	11.120
203.1458	10.920
203.1667	10.930
203.1875	10.640
203.2083	11.100
203.2292	11.240
203.2500	11.230
203.2708	10.550
203.2917	10.850
203.3125	10.730
203.3333	11.090
203.3542	11.250
203.3750	10.660
203.3958	10.620
203.4167	11.190
203.4375	11.270
203.4583	11.090
203.4792	10.920
203.5000	11.290
203.5208	11.210
203.5417	11.000
203.5625	11.180
203.5833	11.110
203.6042	10.810
203.6250	11.590
203.6458	11.390
203.6667	11.640
203.6875	11.820
203.7083	11.450
203.7292	11.310
203.7500	11.040
203.7708	11.190
203.7917	11.110
203.8125	11.110
203.8333	11.240
203.8542	11.520
203.8750	11.590
203.8958	11.190
203.9167	11.060
203.9375	11.110
203.9583	11.230
203.9792	11.040
204.0000	11.100
204.0208	11.400
204.0417	10.760
204.0625	11.010
204.0833	11.020
204.1042	10.800
204.1250	10.880
204.1458	10.670
204.1667	10.450
204.1875	10.360
204.2083	10.560
204.2292	10.640
204.2500	10.700
204.2708	10.740
204.2917	10.110
204.3125	10.150
204.3333	10.730
204.3542	10.850
204.3750	10.890
204.3958	10.810
204.4167	10.810
204.4375	10.650
204.4583	10.620
204.4792	10.630
204.5000	10.790
204.5208	10.350
204.5417	10.180
204.5625	10.320
204.5833	10.210
204.6042	10.280
204.6250	10.310
204.6458	10.480
204.6667	9.880
204.6875	10.390
204.7083	10.230
204.7292	10.310
204.7500	10.220
204.7708	9.880
204.7917	10.390
204.8125	9.990
204.8333	9.440
204.8542	10.010
204.8750	9.970
204.8958	10.410
204.9167	9.730
204.9375	9.660
204.9583	9.820
204.9792	10.270
205.0000	9.650
205.0208	9.620
205.0417	10.050
205.0625	9.800
205.0833	9.670
205.1042	9.330
205.1250	10.070
205.1458	10.120
205.1667	10.360
205.1875	10.380
205.2083	10.310
205.2292	10.180
205.2500	9.960
205.2708	9.860
205.2917	9.480
205.3125	10.120
205.3333	9.660
205.3542	9.780
205.3750	9.580
205.3958	9.330
205.4167	9.270
205.4375	9.310
205.4583	8.860
205.4792	9.300
205.5000	9.260
205.5208	8.530
205.5417	8.930
205.5625	8.960
205.5833	8.280
205.6042	8.950
205.6250	8.890
205.6458	8.910
205.6667	8.650
205.6875	9.100
205.7083	9.250
205.7292	9.610
205.7500	9.610
205.7708	9.680
205.7917	9.210
205.8125	9.720
205.8333	9.260
205.8542	9.880
205.8750	9.680
205.8958	9.450
205.9167	9.950
205.9375	9.620
205.9583	9.990
205.9792	10.020
206.0000	10.090
206.0208	9.810
206.0417	10.330
206.0625	10.450
206.0833	10.140
206.1042	10.300
206.1250	10.140
206.1458	10.200
206.1667	10.380
206.1875	10.300
206.2083	10.240
206.2292	10.240
206.2500	10.130
206.2708	10.320
206.2917	10.770
206.3125	10.650
206.3333	10.720
206.3542	10.370
206.3750	10.670
206.3958	10.600
206.4167	10.690
206.4375	10.280
206.4583	10.720
206.4792	10.150
206.5000	9.990
206.5208	10.360
206.5417	10.050
206.5625	9.820
206.5833	10.460
206.6042	10.480
206.6250	10.590
206.6458	10.730
206.6667	10.460
206.6875	10.510
206.7083	10.620
206.7292	10.210
206.7500	10.440
206.7708	10.590
206.7917	10.190
206.8125	10.000
206.8333	10.320
206.8542	10.270
206.8750	10.460
206.8958	10.330
206.9167	10.330
206.9375	9.790
206.9583	10.270
206.9792	9.610
207.0000	10.300
207.0208	10.340
207.0417	10.410
207.0625	10.500
207.0833	10.460
207.1042	10.440
207.1250	10.290
207.1458	10.100
207.1667	10.380
207.1875	10.200
207.2083	10.240
207.2292	10.310
207.2500	10.190
207.2708	10.220
207.2917	10.440
207.3125	9.990
207.3333	9.930
207.3542	9.840
207.3750	9.420
207.3958	9.870
207.4167	9.440
207.4375	9.760
207.4583	9.550
207.4792	10.180
207.5000	10.250
207.5208	9.780
207.5417	9.900
207.5625	10.360
207.5833	9.760
207.6042	10.150
207.6250	10.100
207.6458	10.040
207.6667	9.970
207.6875	9.940
207.7083	9.960
207.7292	10.030
207.7500	9.590
207.7708	10.040
207.7917	10.050
207.8125	9.690
207.8333	9.990
207.8542	10.150
207.8750	10.050
207.8958	9.600
207.9167	9.300
207.9375	9.810
207.9583	9.470
207.9792	9.620
208.0000	9.310
208.0208	9.410
208.0417	9.170
208.0625	9.480
208.0833	8.700
208.1042	9.660
208.1250	9.690
208.1458	9.350
208.1667	9.330
208.1875	9.540
208.2083	8.920
208.2292	9.380
208.2500	9.310
208.2708	9.320
208.2917	9.110
208.3125	8.920
208.3333	9.200
208.3542	9.170
208.3750	9.220
208.3958	8.990
208.4167	9.340
208.4375	9.270
208.4583	9.320
208.4792	9.060
208.5000	8.980
208.5208	8.590
208.5417	8.790
208.5625	8.920
208.5833	8.910
208.6042	8.970
208.6250	8.970
208.6458	8.830
208.6667	8.780
208.6875	8.360
208.7083	8.640
208.7292	8.040
208.7500	8.120
208.7708	8.190
208.7917	8.740
208.8125	8.610
208.8333	8.280
208.8542	8.770
208.8750	8.820
208.8958	8.870
208.9167	8.790
208.9375	8.760
208.9583	8.790
208.9792	8.720
209.0000	8.700
209.0208	8.860
209.0417	8.260
209.0625	8.490
209.0833	8.740
209.1042	8.990
209.1250	9.070
209.1458	8.990
209.1667	9.110
209.1875	8.650
209.2083	9.160
209.2292	9.210
209.2500	9.220
209.2708	9.490
209.2917	9.640
209.3125	9.610
209.3333	9.750
209.3542	9.790
209.3750	9.560
209.3958	9.670
209.4167	9.880
209.4375	9.710
209.4583	9.590
209.4792	9.160
209.5000	9.900
209.5208	9.320
209.5417	9.790
209.5625	9.830
209.5833	9.830
209.6042	9.790
209.6250	9.350
209.6458	9.760
209.6667	9.900
209.6875	9.550
209.7083	9.650
209.7292	9.440
209.7500	9.590
209.7708	9.330
209.7917	8.840
209.8125	9.600
209.8333	9.420
209.8542	9.360
209.8750	9.300
209.8958	9.370
209.9167	9.480
209.9375	9.300
209.9583	9.110
209.9792	9.300
210.0000	8.910
210.0208	9.220
210.0417	9.290
210.0625	9.450
210.0833	9.440
210.1042	9.270
210.1250	9.400
210.1458	9.490
210.1667	9.500
210.1875	9.190
210.2083	9.010
210.2292	9.330
210.2500	9.760
210.2708	9.490
210.2917	9.610
210.3125	9.560
210.3333	9.730
210.3542	9.490
210.3750	9.890
210.3958	9.960
210.4167	9.710
210.4375	9.610
210.4583	9.510
210.4792	9.200
210.5000	9.720
210.5208	9.640
210.5417	9.720
210.5625	9.400
210.5833	9.630
210.6042	9.040
210.6250	9.540
210.6458	9.490
210.6667	9.370
210.6875	9.150
210.7083	9.510
210.7292	9.140
210.7500	9.070
210.7708	9.020
210.7917	8.860
210.8125	8.700
210.8333	8.950
210.8542	8.590
210.8750	8.590
210.8958	8.180
210.9167	8.530
210.9375	8.110
210.9583	8.490
210.9792	8.470
211.0000	8.480
211.0208	8.280
211.0417	8.290
211.0625	8.340
211.0833	8.240
211.1042	8.300
211.1250	8.330
211.1458	8.100
211.1667	8.310
211.1875	8.220
211.2083	8.310
211.2292	8.040
211.2500	8.290
211.2708	8.140
211.2917	8.160
211.3125	8.070
211.3333	7.970
211.3542	8.010
211.3750	8.150
211.3958	8.130
211.4167	8.090
211.4375	8.190
211.4583	8.100
211.4792	8.270
211.5000	8.250
211.5208	8.250
211.5417	8.260
211.5625	8.350
211.5833	8.400
211.6042	8.070
211.6250	8.210
211.6458	8.240
211.6667	8.420
211.6875	8.280
211.7083	7.780
211.7292	8.340
211.7500	8.300
211.7708	8.230
211.7917	8.150
211.8125	8.380
211.8333	8.190
211.8542	8.090
211.8750	8.380
211.8958	8.270
211.9167	8.210
211.9375	8.280
211.9583	8.110
211.9792	8.360
212.0000	8.460
212.0208	8.020
212.0417	8.050
212.0625	8.010
212.0833	7.740
212.1042	8.130
212.1250	7.960
212.1458	8.020
212.1667	7.900
212.1875	7.950
212.2083	7.860
212.2292	7.750
212.2500	7.820
212.2708	7.990
212.2917	7.950
212.3125	8.160
212.3333	8.160
212.3542	8.180
212.3750	8.290
212.3958	8.280
212.4167	8.140
212.4375	8.110
212.4583	7.910
212.4792	8.130
212.5000	8.270
212.5208	8.520
212.5417	8.260
212.5625	9.050
212.5833	9.190
212.6042	9.700
212.6250	9.590
212.6458	9.620
212.6667	9.710
212.6875	9.640
212.7083	9.750
212.7292	9.620
212.7500	9.650
212.7708	9.510
212.7917	9.460
212.8125	9.380
212.8333	9.390
212.8542	9.180
212.8750	9.280
212.8958	9.110
212.9167	8.720
212.9375	8.800
212.9583	8.650
212.9792	8.580
213.0000	8.290
