 YSI data from 1 mab at station  7 2007, times are edt                                         
     date    depth     temp     cond       do     turb      chl     batv        
 201.9792   24.120   10.100  187.000    7.490   -1.000   -0.800   13.400
 202.0000   24.138   10.100  187.000    7.520   -4.900  363.700   13.400
 202.0208   24.135   10.090  187.000    7.500   -4.300  309.900   13.400
 202.0417   24.145   10.090  187.000    7.480   -2.400  336.700   13.400
 202.0625   24.161   10.090  185.000    7.480   -4.300   90.000   13.400
 202.0833   24.170   10.090  188.000    7.460   -5.100  -34.400   13.400
 202.1042   24.167   10.090  188.000    7.430   -5.400  -50.000   13.600
 202.1250   24.172   10.090  188.000    7.440   -3.600  -50.000   13.900
 202.1458   24.186   10.090  183.000    7.450   -3.700  -50.000   13.700
 202.1667   24.180   10.090  188.000    7.470   -5.000  -50.000   13.600
 202.1875   24.174   10.100  188.000    7.470   -3.500  -50.000   13.500
 202.2083   24.171   10.110  188.000    7.500   -2.700  -50.000   13.700
 202.2292   24.163   10.120  188.000    7.500   -4.000  -50.000   13.500
 202.2500   24.154   10.130  188.000    7.510   -3.900  -50.000   13.600
 202.2708   24.163   10.140  188.000    7.500   -3.600  -50.000   13.700
 202.2917   24.163   10.140  188.000    7.520   -2.600  -50.000   13.800
 202.3125   24.149   10.150  188.000    7.510   -3.200  -50.000   13.700
 202.3333   24.147   10.160  188.000    7.510   -3.000  -50.000   14.000
 202.3542   24.157   10.160  188.000    7.490   -3.300  -50.000   13.800
 202.3750   24.146   10.160  187.000    7.500   -3.400  -50.000   13.900
 202.3958   24.149   10.170  189.000    7.470   -2.500  -50.000   14.100
 202.4167   24.157   10.160  189.000    7.470   -3.600  -50.000   14.100
 202.4375   24.182   10.160  189.000    7.460   -0.400  -50.000   14.600
 202.4583   24.143   10.150  189.000    7.450   -2.400  -50.000   13.800
 202.4792   24.156   10.150  189.000    7.460   -2.700  -50.000   14.100
 202.5000   24.193   10.140  188.000    7.470   -3.300   55.000   14.800
 202.5208 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.300
 202.5417 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.100
 202.5625 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.5833 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.100
 202.6042 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.6250 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.6458 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.100
 202.6667 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.100
 202.6875 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.100
 202.7083 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.7292 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.7500 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.100
 202.7708 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.7917 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.8125 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.8333 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.8542 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.8750 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.8958 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.9167 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.9375 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.9583 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
 202.9792 -999.000 -999.000 -999.000 -999.000 -999.000 -999.000   13.000
